Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.008107
  Input 2 (Obs_2): 0.008430
  Input 3 (Obs_3): 0.003987
  Input 4 (Obs_4): 0.004588
  Input 5 (Obs_5): 0.008499
  Input 6 (Obs_6): 0.009093
  Input 7 (Latent_1): 0.007838
  Input 8 (Latent_2): 0.011110
  Input 9 (Latent_3): 0.005995
  Input 10 (Latent_4): 0.014404
  Input 11 (Latent_5): 0.012965
  Input 12 (Latent_6): 0.010784
  Input 13 (Latent_7): 0.008230
  Input 14 (Latent_8): 0.011658

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.004830
  Input 2 (Obs_2): 0.006371
  Input 3 (Obs_3): 0.005252
  Input 4 (Obs_4): 0.007604
  Input 5 (Obs_5): 0.006840
  Input 6 (Obs_6): 0.012242
  Input 7 (Latent_1): 0.012208
  Input 8 (Latent_2): 0.008489
  Input 9 (Latent_3): 0.007879
  Input 10 (Latent_4): 0.008661
  Input 11 (Latent_5): 0.009126
  Input 12 (Latent_6): 0.007906
  Input 13 (Latent_7): 0.012110
  Input 14 (Latent_8): 0.010055

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.003732
  Input 2 (Obs_2): 0.006034
  Input 3 (Obs_3): 0.002278
  Input 4 (Obs_4): 0.005883
  Input 5 (Obs_5): 0.006907
  Input 6 (Obs_6): 0.003742
  Input 7 (Latent_1): 0.009378
  Input 8 (Latent_2): 0.006331
  Input 9 (Latent_3): 0.010880
  Input 10 (Latent_4): 0.009878
  Input 11 (Latent_5): 0.012363
  Input 12 (Latent_6): 0.008501
  Input 13 (Latent_7): 0.007083
  Input 14 (Latent_8): 0.006878

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.011005
  Input 2 (Obs_2): 0.017056
  Input 3 (Obs_3): 0.003368
  Input 4 (Obs_4): 0.020484
  Input 5 (Obs_5): 0.004455
  Input 6 (Obs_6): 0.006924
  Input 7 (Latent_1): 0.009524
  Input 8 (Latent_2): 0.011565
  Input 9 (Latent_3): 0.008247
  Input 10 (Latent_4): 0.010581
  Input 11 (Latent_5): 0.010593
  Input 12 (Latent_6): 0.021011
  Input 13 (Latent_7): 0.009833
  Input 14 (Latent_8): 0.012267

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.015461
  Input 2 (Obs_2): 0.018495
  Input 3 (Obs_3): 0.020943
  Input 4 (Obs_4): 0.017588
  Input 5 (Obs_5): 0.010940
  Input 6 (Obs_6): 0.016088
  Input 7 (Latent_1): 0.017725
  Input 8 (Latent_2): 0.022073
  Input 9 (Latent_3): 0.037103
  Input 10 (Latent_4): 0.024513
  Input 11 (Latent_5): 0.028586
  Input 12 (Latent_6): 0.042068
  Input 13 (Latent_7): 0.027356
  Input 14 (Latent_8): 0.030752

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.010720
  Input 2 (Obs_2): 0.009304
  Input 3 (Obs_3): 0.012917
  Input 4 (Obs_4): 0.014571
  Input 5 (Obs_5): 0.003829
  Input 6 (Obs_6): 0.006449
  Input 7 (Latent_1): 0.019457
  Input 8 (Latent_2): 0.008372
  Input 9 (Latent_3): 0.008146
  Input 10 (Latent_4): 0.021299
  Input 11 (Latent_5): 0.011855
  Input 12 (Latent_6): 0.009203
  Input 13 (Latent_7): 0.016316
  Input 14 (Latent_8): 0.030333

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.016671
  Input 2 (Obs_2): 0.019412
  Input 3 (Obs_3): 0.007906
  Input 4 (Obs_4): 0.010593
  Input 5 (Obs_5): 0.009627
  Input 6 (Obs_6): 0.016667
  Input 7 (Latent_1): 0.014998
  Input 8 (Latent_2): 0.014976
  Input 9 (Latent_3): 0.020310
  Input 10 (Latent_4): 0.011821
  Input 11 (Latent_5): 0.010345
  Input 12 (Latent_6): 0.014765
  Input 13 (Latent_7): 0.014555
  Input 14 (Latent_8): 0.011150

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.009398
  Input 2 (Obs_2): 0.039863
  Input 3 (Obs_3): 0.020461
  Input 4 (Obs_4): 0.008106
  Input 5 (Obs_5): 0.027282
  Input 6 (Obs_6): 0.015195
  Input 7 (Latent_1): 0.015428
  Input 8 (Latent_2): 0.016227
  Input 9 (Latent_3): 0.013343
  Input 10 (Latent_4): 0.019294
  Input 11 (Latent_5): 0.010845
  Input 12 (Latent_6): 0.017299
  Input 13 (Latent_7): 0.048435
  Input 14 (Latent_8): 0.019677

