Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.027252
  Input 2 (Obs_2): 0.029900
  Input 3 (Obs_3): 0.015845
  Input 4 (Obs_4): 0.010758
  Input 5 (Obs_5): 0.028794
  Input 6 (Obs_6): 0.025064
  Input 7 (Latent_1): 0.027526
  Input 8 (Latent_2): 0.045524
  Input 9 (Latent_3): 0.020658
  Input 10 (Latent_4): 0.051533
  Input 11 (Latent_5): 0.026468
  Input 12 (Latent_6): 0.041966
  Input 13 (Latent_7): 0.025942
  Input 14 (Latent_8): 0.033698

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.025464
  Input 2 (Obs_2): 0.029057
  Input 3 (Obs_3): 0.009722
  Input 4 (Obs_4): 0.035942
  Input 5 (Obs_5): 0.021783
  Input 6 (Obs_6): 0.027941
  Input 7 (Latent_1): 0.040696
  Input 8 (Latent_2): 0.024525
  Input 9 (Latent_3): 0.026557
  Input 10 (Latent_4): 0.018730
  Input 11 (Latent_5): 0.034855
  Input 12 (Latent_6): 0.032286
  Input 13 (Latent_7): 0.022363
  Input 14 (Latent_8): 0.032828

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.012973
  Input 2 (Obs_2): 0.015851
  Input 3 (Obs_3): 0.008450
  Input 4 (Obs_4): 0.013028
  Input 5 (Obs_5): 0.014988
  Input 6 (Obs_6): 0.007199
  Input 7 (Latent_1): 0.019205
  Input 8 (Latent_2): 0.021178
  Input 9 (Latent_3): 0.036154
  Input 10 (Latent_4): 0.025491
  Input 11 (Latent_5): 0.023942
  Input 12 (Latent_6): 0.024349
  Input 13 (Latent_7): 0.015603
  Input 14 (Latent_8): 0.020762

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.028821
  Input 2 (Obs_2): 0.056016
  Input 3 (Obs_3): 0.014909
  Input 4 (Obs_4): 0.063933
  Input 5 (Obs_5): 0.023501
  Input 6 (Obs_6): 0.031496
  Input 7 (Latent_1): 0.036182
  Input 8 (Latent_2): 0.024421
  Input 9 (Latent_3): 0.026327
  Input 10 (Latent_4): 0.029042
  Input 11 (Latent_5): 0.040083
  Input 12 (Latent_6): 0.064552
  Input 13 (Latent_7): 0.042847
  Input 14 (Latent_8): 0.043369

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.033249
  Input 2 (Obs_2): 0.050073
  Input 3 (Obs_3): 0.024042
  Input 4 (Obs_4): 0.027567
  Input 5 (Obs_5): 0.023340
  Input 6 (Obs_6): 0.057802
  Input 7 (Latent_1): 0.039631
  Input 8 (Latent_2): 0.024158
  Input 9 (Latent_3): 0.070809
  Input 10 (Latent_4): 0.028628
  Input 11 (Latent_5): 0.025523
  Input 12 (Latent_6): 0.028821
  Input 13 (Latent_7): 0.031276
  Input 14 (Latent_8): 0.040405

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.051274
  Input 2 (Obs_2): 0.048510
  Input 3 (Obs_3): 0.046346
  Input 4 (Obs_4): 0.032767
  Input 5 (Obs_5): 0.048393
  Input 6 (Obs_6): 0.039278
  Input 7 (Latent_1): 0.043703
  Input 8 (Latent_2): 0.079722
  Input 9 (Latent_3): 0.055460
  Input 10 (Latent_4): 0.063185
  Input 11 (Latent_5): 0.063765
  Input 12 (Latent_6): 0.036087
  Input 13 (Latent_7): 0.082162
  Input 14 (Latent_8): 0.105153

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.017458
  Input 2 (Obs_2): 0.019046
  Input 3 (Obs_3): 0.045166
  Input 4 (Obs_4): 0.035704
  Input 5 (Obs_5): 0.018241
  Input 6 (Obs_6): 0.018153
  Input 7 (Latent_1): 0.074821
  Input 8 (Latent_2): 0.027994
  Input 9 (Latent_3): 0.026317
  Input 10 (Latent_4): 0.044283
  Input 11 (Latent_5): 0.050293
  Input 12 (Latent_6): 0.035649
  Input 13 (Latent_7): 0.027868
  Input 14 (Latent_8): 0.083181

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.034533
  Input 2 (Obs_2): 0.082912
  Input 3 (Obs_3): 0.059121
  Input 4 (Obs_4): 0.023478
  Input 5 (Obs_5): 0.042822
  Input 6 (Obs_6): 0.039808
  Input 7 (Latent_1): 0.039822
  Input 8 (Latent_2): 0.050992
  Input 9 (Latent_3): 0.041661
  Input 10 (Latent_4): 0.048363
  Input 11 (Latent_5): 0.121338
  Input 12 (Latent_6): 0.035371
  Input 13 (Latent_7): 0.050872
  Input 14 (Latent_8): 0.057731

