Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.006640
  Input 2 (Obs_2): 0.008142
  Input 3 (Obs_3): 0.003378
  Input 4 (Obs_4): 0.004040
  Input 5 (Obs_5): 0.007774
  Input 6 (Obs_6): 0.007188
  Input 7 (Latent_1): 0.009987
  Input 8 (Latent_2): 0.009668
  Input 9 (Latent_3): 0.006248
  Input 10 (Latent_4): 0.011096
  Input 11 (Latent_5): 0.014008
  Input 12 (Latent_6): 0.006748
  Input 13 (Latent_7): 0.008572
  Input 14 (Latent_8): 0.010054

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.005481
  Input 2 (Obs_2): 0.006124
  Input 3 (Obs_3): 0.002841
  Input 4 (Obs_4): 0.006733
  Input 5 (Obs_5): 0.003747
  Input 6 (Obs_6): 0.017569
  Input 7 (Latent_1): 0.011057
  Input 8 (Latent_2): 0.008328
  Input 9 (Latent_3): 0.007624
  Input 10 (Latent_4): 0.007949
  Input 11 (Latent_5): 0.007924
  Input 12 (Latent_6): 0.009489
  Input 13 (Latent_7): 0.009517
  Input 14 (Latent_8): 0.010156

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.002752
  Input 2 (Obs_2): 0.003291
  Input 3 (Obs_3): 0.002063
  Input 4 (Obs_4): 0.003161
  Input 5 (Obs_5): 0.004183
  Input 6 (Obs_6): 0.002588
  Input 7 (Latent_1): 0.006809
  Input 8 (Latent_2): 0.006194
  Input 9 (Latent_3): 0.008017
  Input 10 (Latent_4): 0.006748
  Input 11 (Latent_5): 0.008588
  Input 12 (Latent_6): 0.006657
  Input 13 (Latent_7): 0.005420
  Input 14 (Latent_8): 0.006829

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.008897
  Input 2 (Obs_2): 0.014482
  Input 3 (Obs_3): 0.003115
  Input 4 (Obs_4): 0.008185
  Input 5 (Obs_5): 0.004651
  Input 6 (Obs_6): 0.009385
  Input 7 (Latent_1): 0.008980
  Input 8 (Latent_2): 0.009955
  Input 9 (Latent_3): 0.008457
  Input 10 (Latent_4): 0.007334
  Input 11 (Latent_5): 0.009233
  Input 12 (Latent_6): 0.013135
  Input 13 (Latent_7): 0.011547
  Input 14 (Latent_8): 0.008371

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.008097
  Input 2 (Obs_2): 0.010434
  Input 3 (Obs_3): 0.011426
  Input 4 (Obs_4): 0.008080
  Input 5 (Obs_5): 0.015656
  Input 6 (Obs_6): 0.009725
  Input 7 (Latent_1): 0.012299
  Input 8 (Latent_2): 0.017827
  Input 9 (Latent_3): 0.017542
  Input 10 (Latent_4): 0.014191
  Input 11 (Latent_5): 0.011471
  Input 12 (Latent_6): 0.022942
  Input 13 (Latent_7): 0.031613
  Input 14 (Latent_8): 0.016206

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.004152
  Input 2 (Obs_2): 0.004991
  Input 3 (Obs_3): 0.004959
  Input 4 (Obs_4): 0.005637
  Input 5 (Obs_5): 0.003703
  Input 6 (Obs_6): 0.004383
  Input 7 (Latent_1): 0.010210
  Input 8 (Latent_2): 0.006689
  Input 9 (Latent_3): 0.007072
  Input 10 (Latent_4): 0.006440
  Input 11 (Latent_5): 0.007647
  Input 12 (Latent_6): 0.006948
  Input 13 (Latent_7): 0.019018
  Input 14 (Latent_8): 0.009296

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.006671
  Input 2 (Obs_2): 0.030413
  Input 3 (Obs_3): 0.014680
  Input 4 (Obs_4): 0.005552
  Input 5 (Obs_5): 0.010917
  Input 6 (Obs_6): 0.010411
  Input 7 (Latent_1): 0.012456
  Input 8 (Latent_2): 0.015855
  Input 9 (Latent_3): 0.008925
  Input 10 (Latent_4): 0.008461
  Input 11 (Latent_5): 0.010401
  Input 12 (Latent_6): 0.012313
  Input 13 (Latent_7): 0.012993
  Input 14 (Latent_8): 0.033820

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.010363
  Input 2 (Obs_2): 0.008738
  Input 3 (Obs_3): 0.005171
  Input 4 (Obs_4): 0.008512
  Input 5 (Obs_5): 0.006334
  Input 6 (Obs_6): 0.006593
  Input 7 (Latent_1): 0.007104
  Input 8 (Latent_2): 0.007482
  Input 9 (Latent_3): 0.012711
  Input 10 (Latent_4): 0.006576
  Input 11 (Latent_5): 0.006896
  Input 12 (Latent_6): 0.008547
  Input 13 (Latent_7): 0.008293
  Input 14 (Latent_8): 0.009316

