2024-09-01 00:41:34,287 INFO    StreamThr :1731920 [internal.py:wandb_internal():85] W&B internal server running at pid: 1731920, started at: 2024-09-01 00:41:34.286891
2024-09-01 00:41:34,288 DEBUG   HandlerThread:1731920 [handler.py:handle_request():158] handle_request: status
2024-09-01 00:41:34,290 INFO    WriterThread:1731920 [datastore.py:open_for_write():87] open: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20240901_004134-a7isdv6t/run-a7isdv6t.wandb
2024-09-01 00:41:34,291 DEBUG   SenderThread:1731920 [sender.py:send():391] send: header
2024-09-01 00:41:34,309 DEBUG   SenderThread:1731920 [sender.py:send():391] send: run
2024-09-01 00:41:34,455 INFO    SenderThread:1731920 [dir_watcher.py:__init__():211] watching files in: /home/rsw0/Desktop/yolanda/temp/CogModRNN/wandb/run-20240901_004134-a7isdv6t/files
2024-09-01 00:41:34,455 INFO    SenderThread:1731920 [sender.py:_start_run_threads():1200] run started: a7isdv6t with start time 1725165694.286935
2024-09-01 00:41:34,462 DEBUG   HandlerThread:1731920 [handler.py:handle_request():158] handle_request: run_start
2024-09-01 00:41:34,469 DEBUG   HandlerThread:1731920 [system_info.py:__init__():26] System info init
2024-09-01 00:41:34,469 DEBUG   HandlerThread:1731920 [system_info.py:__init__():41] System info init done
2024-09-01 00:41:34,469 INFO    HandlerThread:1731920 [system_monitor.py:start():194] Starting system monitor
2024-09-01 00:41:34,470 INFO    SystemMonitor:1731920 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-09-01 00:41:34,470 INFO    HandlerThread:1731920 [system_monitor.py:probe():214] Collecting system info
2024-09-01 00:41:34,470 INFO    SystemMonitor:1731920 [interfaces.py:start():188] Started cpu monitoring
2024-09-01 00:41:34,470 INFO    SystemMonitor:1731920 [interfaces.py:start():188] Started disk monitoring
2024-09-01 00:41:34,470 INFO    SystemMonitor:1731920 [interfaces.py:start():188] Started gpu monitoring
2024-09-01 00:41:34,471 INFO    SystemMonitor:1731920 [interfaces.py:start():188] Started memory monitoring
2024-09-01 00:41:34,471 INFO    SystemMonitor:1731920 [interfaces.py:start():188] Started network monitoring
2024-09-01 00:41:34,481 DEBUG   HandlerThread:1731920 [system_info.py:probe():152] Probing system
2024-09-01 00:41:34,487 DEBUG   HandlerThread:1731920 [system_info.py:_probe_git():137] Probing git
2024-09-01 00:41:34,499 DEBUG   HandlerThread:1731920 [system_info.py:_probe_git():145] Probing git done
2024-09-01 00:41:34,500 DEBUG   HandlerThread:1731920 [system_info.py:probe():200] Probing system done
