Update MLP Bottleneck Sigmas:
Latent 1 Update MLP Sigmas:
  Input 1 (Obs_1): 0.006492
  Input 2 (Obs_2): 0.009558
  Input 3 (Obs_3): 0.020176
  Input 4 (Obs_4): 0.010211
  Input 5 (Obs_5): 0.012707
  Input 6 (Obs_6): 0.007126
  Input 7 (Latent_1): 0.019060
  Input 8 (Latent_2): 0.013368
  Input 9 (Latent_3): 0.029228
  Input 10 (Latent_4): 0.025161
  Input 11 (Latent_5): 0.026312
  Input 12 (Latent_6): 0.021984
  Input 13 (Latent_7): 0.025803
  Input 14 (Latent_8): 0.012782

Latent 2 Update MLP Sigmas:
  Input 1 (Obs_1): 0.008807
  Input 2 (Obs_2): 0.007890
  Input 3 (Obs_3): 0.003284
  Input 4 (Obs_4): 0.002247
  Input 5 (Obs_5): 0.003980
  Input 6 (Obs_6): 0.007733
  Input 7 (Latent_1): 0.004544
  Input 8 (Latent_2): 0.006586
  Input 9 (Latent_3): 0.005336
  Input 10 (Latent_4): 0.008146
  Input 11 (Latent_5): 0.005744
  Input 12 (Latent_6): 0.005480
  Input 13 (Latent_7): 0.011917
  Input 14 (Latent_8): 0.010863

Latent 3 Update MLP Sigmas:
  Input 1 (Obs_1): 0.010138
  Input 2 (Obs_2): 0.008213
  Input 3 (Obs_3): 0.024481
  Input 4 (Obs_4): 0.017726
  Input 5 (Obs_5): 0.009301
  Input 6 (Obs_6): 0.020887
  Input 7 (Latent_1): 0.017365
  Input 8 (Latent_2): 0.019445
  Input 9 (Latent_3): 0.010318
  Input 10 (Latent_4): 0.010665
  Input 11 (Latent_5): 0.025405
  Input 12 (Latent_6): 0.011085
  Input 13 (Latent_7): 0.021400
  Input 14 (Latent_8): 0.015268

Latent 4 Update MLP Sigmas:
  Input 1 (Obs_1): 0.013264
  Input 2 (Obs_2): 0.008528
  Input 3 (Obs_3): 0.014322
  Input 4 (Obs_4): 0.010609
  Input 5 (Obs_5): 0.008109
  Input 6 (Obs_6): 0.021072
  Input 7 (Latent_1): 0.011089
  Input 8 (Latent_2): 0.018193
  Input 9 (Latent_3): 0.010467
  Input 10 (Latent_4): 0.024479
  Input 11 (Latent_5): 0.027333
  Input 12 (Latent_6): 0.027290
  Input 13 (Latent_7): 0.014984
  Input 14 (Latent_8): 0.025195

Latent 5 Update MLP Sigmas:
  Input 1 (Obs_1): 0.024358
  Input 2 (Obs_2): 0.013617
  Input 3 (Obs_3): 0.003237
  Input 4 (Obs_4): 0.009116
  Input 5 (Obs_5): 0.006043
  Input 6 (Obs_6): 0.010899
  Input 7 (Latent_1): 0.009590
  Input 8 (Latent_2): 0.016600
  Input 9 (Latent_3): 0.011387
  Input 10 (Latent_4): 0.016368
  Input 11 (Latent_5): 0.014831
  Input 12 (Latent_6): 0.023670
  Input 13 (Latent_7): 0.010670
  Input 14 (Latent_8): 0.009252

Latent 6 Update MLP Sigmas:
  Input 1 (Obs_1): 0.003609
  Input 2 (Obs_2): 0.003995
  Input 3 (Obs_3): 0.006264
  Input 4 (Obs_4): 0.010309
  Input 5 (Obs_5): 0.005359
  Input 6 (Obs_6): 0.004679
  Input 7 (Latent_1): 0.010737
  Input 8 (Latent_2): 0.012151
  Input 9 (Latent_3): 0.012680
  Input 10 (Latent_4): 0.011656
  Input 11 (Latent_5): 0.012278
  Input 12 (Latent_6): 0.012200
  Input 13 (Latent_7): 0.009640
  Input 14 (Latent_8): 0.012720

Latent 7 Update MLP Sigmas:
  Input 1 (Obs_1): 0.007460
  Input 2 (Obs_2): 0.011877
  Input 3 (Obs_3): 0.005901
  Input 4 (Obs_4): 0.011665
  Input 5 (Obs_5): 0.003721
  Input 6 (Obs_6): 0.004888
  Input 7 (Latent_1): 0.011200
  Input 8 (Latent_2): 0.009962
  Input 9 (Latent_3): 0.018776
  Input 10 (Latent_4): 0.008769
  Input 11 (Latent_5): 0.012534
  Input 12 (Latent_6): 0.009295
  Input 13 (Latent_7): 0.013529
  Input 14 (Latent_8): 0.012601

Latent 8 Update MLP Sigmas:
  Input 1 (Obs_1): 0.004481
  Input 2 (Obs_2): 0.011516
  Input 3 (Obs_3): 0.006202
  Input 4 (Obs_4): 0.006277
  Input 5 (Obs_5): 0.009220
  Input 6 (Obs_6): 0.009162
  Input 7 (Latent_1): 0.024001
  Input 8 (Latent_2): 0.009952
  Input 9 (Latent_3): 0.014412
  Input 10 (Latent_4): 0.009884
  Input 11 (Latent_5): 0.018594
  Input 12 (Latent_6): 0.008623
  Input 13 (Latent_7): 0.013455
  Input 14 (Latent_8): 0.023495

